order_pk,customer_id,order_id,order_date,location_id,payment_id
1,1,B-26776,2023-06-27,1,1
2,110,B-26347,2020-12-21,1,1
3,121,B-25400,2021-03-24,1,1
4,139,B-25714,2025-02-19,1,1
5,258,B-25427,2020-04-04,1,1
6,261,B-26224,2023-12-13,1,1
7,283,B-26554,2024-10-01,1,1
8,298,B-26325,2022-10-06,1,1
9,437,B-25763,2022-01-18,1,1
10,439,B-25465,2020-06-24,1,1
11,530,B-26999,2024-02-19,1,1
12,668,B-26835,2023-03-09,1,1
13,689,B-25382,2020-12-21,1,1
14,787,B-26739,2024-05-29,1,1
15,2,B-26776,2024-12-27,2,1
16,82,B-25916,2022-12-07,2,1
17,171,B-26523,2020-03-31,2,1
18,199,B-26043,2020-11-03,2,1
19,215,B-25406,2020-10-28,2,1
20,259,B-26224,2023-01-22,2,1
21,308,B-26586,2023-09-30,2,1
22,312,B-26284,2023-08-23,2,1
23,346,B-25953,2021-11-13,2,1
24,458,B-26258,2024-10-21,2,1
25,543,B-26159,2024-04-16,2,1
26,620,B-26279,2023-02-17,2,1
27,625,B-25715,2023-04-05,2,1
28,780,B-26495,2024-12-28,2,1
29,802,B-25068,2024-10-26,2,1
30,3,B-26776,2021-07-25,3,1
31,36,B-25372,2020-11-16,3,1
32,41,B-26121,2022-12-16,3,1
33,99,B-25901,2020-10-20,3,1
34,140,B-26607,2024-07-13,3,1
35,146,B-25747,2021-05-12,3,1
36,172,B-26523,2020-10-20,3,1
37,186,B-26716,2021-11-20,3,1
38,216,B-25658,2024-06-15,3,1
39,246,B-25744,2022-01-14,3,1
40,299,B-25251,2020-04-27,3,1
41,316,B-26679,2020-04-29,3,1
42,376,B-25064,2022-02-10,3,1
43,414,B-25200,2024-07-08,3,1
44,440,B-25465,2022-12-23,3,1
45,512,B-25258,2021-08-12,3,1
46,604,B-25441,2022-06-24,3,1
47,618,B-26279,2022-12-08,3,1
48,647,B-25159,2023-06-07,3,1
49,649,B-25159,2021-01-04,3,1
50,702,B-25873,2022-06-05,3,1
51,9,B-25426,2020-05-04,4,1
52,51,B-25142,2021-11-12,4,1
53,86,B-26332,2021-11-16,4,1
54,100,B-25901,2022-08-11,4,1
55,130,B-26556,2022-08-12,4,1
56,154,B-26622,2020-04-02,4,1
57,184,B-25645,2024-05-05,4,1
58,201,B-25243,2024-06-16,4,1
59,264,B-26469,2021-03-24,4,1
60,374,B-25227,2020-04-08,4,1
61,398,B-25549,2023-07-30,4,1
62,423,B-25830,2022-02-28,4,1
